date,code,news_score,n_kw
2024-06-21,2327,-0.008,6
2024-06-21,2492,0.1472,2
2024-06-21,3026,0.0,0
2024-06-24,2327,0.0,0
2024-06-24,2492,0.0,0
2024-06-24,3026,0.0,0
2024-06-24,2472,0.0,0
2024-06-24,3357,0.0,0
2024-06-24,5425,0.0,0
2024-06-24,2481,0.0,0
2024-06-24,3675,0.0,0
2024-06-24,8255,0.0,0
2024-06-24,8261,0.0,0
2024-06-25,2327,-0.1115,2
2024-06-25,2492,0.0,0
2024-06-25,3026,0.0,0
2024-06-25,2472,0.0,0
2024-06-25,3357,0.0,0
2024-06-25,5425,0.0,0
2024-06-25,2481,0.0,0
2024-06-25,3675,0.0,0
2024-06-25,8255,0.0,0
2024-06-25,8261,0.0,0
2024-06-26,2327,-0.0326,4
2024-06-26,2492,0.0,0
2024-06-26,3026,0.0,0
2024-06-26,2472,0.0,0
2024-06-26,3357,0.0,0
2024-06-26,5425,0.0,0
2024-06-26,2481,0.0,0
2024-06-26,3675,0.0,0
2024-06-26,8255,0.0,0
2024-06-26,8261,0.0,0
2024-06-27,2327,0.0,0
2024-06-27,2492,0.0,0
2024-06-27,3026,0.0,0
2024-06-27,2472,0.0,0
2024-06-27,3357,0.0,0
2024-06-27,5425,0.0,0
2024-06-27,2481,0.0,0
2024-06-27,3675,0.0,0
2024-06-27,8255,0.0,0
2024-06-27,8261,0.0,0
2024-06-28,2327,0.0,0
2024-06-28,2492,0.0,0
2024-06-28,3026,0.0,0
2024-06-28,2472,0.0342,2
2024-06-28,3357,0.0,0
2024-06-28,5425,0.0,0
2024-06-28,2481,0.0,0
2024-06-28,3675,0.3321,8
2024-06-28,8255,0.0,0
2024-06-28,8261,0.0,0
2024-07-01,2327,0.0,0
2024-07-01,2492,0.0,0
2024-07-01,3026,0.0,0
2024-07-01,2472,0.0,0
2024-07-01,3357,0.0,0
2024-07-01,5425,0.0,0
2024-07-01,2481,0.0,0
2024-07-01,3675,-0.103,7
2024-07-01,8255,0.0,0
2024-07-01,8261,0.0,0
2024-07-02,2327,0.0,0
2024-07-02,2492,0.0,0
2024-07-02,3026,0.0,0
2024-07-02,2472,0.0,0
2024-07-02,3357,0.0,0
2024-07-02,5425,0.0,0
2024-07-02,2481,0.0,0
2024-07-02,3675,-0.0394,2
2024-07-02,8255,0.0,0
2024-07-02,8261,0.1564,1
2024-07-03,2327,0.0,0
2024-07-03,2492,0.0,0
2024-07-03,3026,0.0,0
2024-07-03,2472,0.0,0
2024-07-03,3357,0.0,0
2024-07-03,5425,0.0,0
2024-07-03,2481,0.0,0
2024-07-03,3675,0.0,0
2024-07-03,8255,0.0,0
2024-07-03,8261,0.0,0
2024-07-04,2327,0.0613,4
2024-07-04,2492,0.0,0
2024-07-04,3026,0.0,0
2024-07-04,2472,0.0,0
2024-07-04,3357,0.0,0
2024-07-04,5425,0.0,0
2024-07-04,2481,0.0142,1
2024-07-04,3675,0.0,0
2024-07-04,8255,0.0,0
2024-07-04,8261,0.0,0
2024-07-05,2327,-0.0326,4
2024-07-05,2492,0.0,0
2024-07-05,3026,-0.1732,3
2024-07-05,2472,0.0,0
2024-07-05,3357,0.0,0
2024-07-05,5425,0.0,0
2024-07-05,2481,0.0,0
2024-07-05,3675,0.0,0
2024-07-05,8255,0.0,0
2024-07-05,8261,0.0,0
2024-07-08,2327,-0.2278,8
2024-07-08,2492,0.0,0
2024-07-08,3026,0.0,0
2024-07-08,2472,0.0,0
2024-07-08,3357,0.0,0
2024-07-08,5425,0.0,0
2024-07-08,2481,0.0,0
2024-07-08,3675,0.0,0
2024-07-08,8255,-0.0394,2
2024-07-08,8261,-0.1732,3
2024-07-09,2327,-0.02,2
2024-07-09,2492,-0.1732,3
2024-07-09,3026,0.0,0
2024-07-09,2472,-0.1732,3
2024-07-09,3357,0.0,0
2024-07-09,5425,0.0,0
2024-07-09,2481,0.0,0
2024-07-09,3675,0.0,0
2024-07-09,8255,-0.0648,3
2024-07-09,8261,0.0,0
2024-07-10,2327,0.0,0
2024-07-10,2492,-0.0756,2
2024-07-10,3026,0.0,0
2024-07-10,2472,0.0,0
2024-07-10,3357,0.0,0
2024-07-10,5425,-0.1732,3
2024-07-10,2481,0.0,0
2024-07-10,3675,0.0,0
2024-07-10,8255,0.0,0
2024-07-10,8261,0.0,0
2024-07-11,2327,0.0,0
2024-07-11,2492,0.0,0
2024-07-11,3026,0.0,0
2024-07-11,2472,0.0,0
2024-07-11,3357,0.0,0
2024-07-11,5425,0.0,0
2024-07-11,2481,0.0,0
2024-07-11,3675,0.0,0
2024-07-11,8255,0.0,0
2024-07-11,8261,0.0,0
2024-07-12,2327,0.0,0
2024-07-12,2492,0.0,0
2024-07-12,3026,0.0,0
2024-07-12,2472,0.0,0
2024-07-12,3357,0.0,0
2024-07-12,5425,0.0,0
2024-07-12,2481,0.0,0
2024-07-12,3675,0.0,0
2024-07-12,8255,0.0,0
2024-07-12,8261,0.0,0
2024-07-15,2327,-0.0425,1
2024-07-15,2492,-0.0425,1
2024-07-15,3026,0.0,0
2024-07-15,2472,0.0,0
2024-07-15,3357,0.0,0
2024-07-15,5425,0.0,0
2024-07-15,2481,0.1564,1
2024-07-15,3675,0.0,0
2024-07-15,8255,0.0,0
2024-07-15,8261,0.0,0
2024-07-16,2327,-0.0485,2
2024-07-16,2492,-0.0425,1
2024-07-16,3026,0.0,0
2024-07-16,2472,0.0,0
2024-07-16,3357,0.0,0
2024-07-16,5425,0.0,0
2024-07-16,2481,0.0,0
2024-07-16,3675,0.0,0
2024-07-16,8255,0.0,0
2024-07-16,8261,0.0,0
2024-07-17,2327,0.1354,1
2024-07-17,2492,-0.0425,1
2024-07-17,3026,0.0,0
2024-07-17,2472,0.0,0
2024-07-17,3357,0.0,0
2024-07-17,5425,0.0,0
2024-07-17,2481,0.0,0
2024-07-17,3675,0.0,0
2024-07-17,8255,0.0,0
2024-07-17,8261,0.0,0
2024-07-18,2327,0.0,0
2024-07-18,2492,0.0,0
2024-07-18,3026,0.0,0
2024-07-18,2472,0.1564,1
2024-07-18,3357,0.0,0
2024-07-18,5425,0.0,0
2024-07-18,2481,0.0,0
2024-07-18,3675,0.0,0
2024-07-18,8255,0.0,0
2024-07-18,8261,0.0,0
2024-07-19,2327,0.0,0
2024-07-19,2492,-0.0425,1
2024-07-19,3026,0.0,0
2024-07-19,2472,0.0,0
2024-07-19,3357,0.0,0
2024-07-19,5425,0.0,0
2024-07-19,2481,0.0,0
2024-07-19,3675,0.0,0
2024-07-19,8255,0.0,0
2024-07-19,8261,0.0,0
2024-07-22,2327,0.0,0
2024-07-22,2492,0.0,0
2024-07-22,3026,0.0,0
2024-07-22,2472,0.0,0
2024-07-22,3357,0.0,0
2024-07-22,5425,0.0,0
2024-07-22,2481,0.0081,2
2024-07-22,3675,0.0,0
2024-07-22,8255,0.0,0
2024-07-22,8261,0.0,0
2024-07-23,2327,0.1564,1
2024-07-23,2492,0.0,0
2024-07-23,3026,0.0,0
2024-07-23,2472,0.0,0
2024-07-23,3357,0.0,0
2024-07-23,5425,0.0,0
2024-07-23,2481,0.0,0
2024-07-23,3675,0.0,0
2024-07-23,8255,0.0,0
2024-07-23,8261,0.0,0
2024-07-26,2327,0.0851,6
2024-07-26,2492,0.0,0
2024-07-26,3026,0.0,0
2024-07-26,2472,0.0,0
2024-07-26,3357,0.0,0
2024-07-26,5425,0.0,0
2024-07-26,2481,0.0,0
2024-07-26,3675,-0.3325,6
2024-07-26,8255,0.0,1
2024-07-26,8261,0.0,0
2024-07-29,2327,-0.0669,1
2024-07-29,2492,0.0,0
2024-07-29,3026,0.0,0
2024-07-29,2472,0.0,0
2024-07-29,3357,0.0,0
2024-07-29,5425,0.0,0
2024-07-29,2481,0.0,0
2024-07-29,3675,-0.0507,3
2024-07-29,8255,0.0,0
2024-07-29,8261,0.0,0
2024-07-30,2327,0.1172,4
2024-07-30,2492,0.0,0
2024-07-30,3026,-0.0193,1
2024-07-30,2472,0.0,0
2024-07-30,3357,0.0,0
2024-07-30,5425,0.0,0
2024-07-30,2481,0.0,0
2024-07-30,3675,0.0,0
2024-07-30,8255,0.0,0
2024-07-30,8261,0.0,0
2024-07-31,2327,0.2781,12
2024-07-31,2492,0.0,0
2024-07-31,3026,0.0,0
2024-07-31,2472,0.0142,1
2024-07-31,3357,0.0,0
2024-07-31,5425,0.0,0
2024-07-31,2481,0.0,0
2024-07-31,3675,0.0,0
2024-07-31,8255,0.0,0
2024-07-31,8261,0.0,0
2024-08-01,2327,-0.0465,5
2024-08-01,2492,-0.0193,1
2024-08-01,3026,0.0,0
2024-08-01,2472,0.0,0
2024-08-01,3357,0.0,0
2024-08-01,5425,0.0,0
2024-08-01,2481,-0.0193,1
2024-08-01,3675,0.0,0
2024-08-01,8255,0.0,0
2024-08-01,8261,0.0,0
2024-08-02,2327,0.0,0
2024-08-02,2492,0.0,0
2024-08-02,3026,0.0,0
2024-08-02,2472,0.0,0
2024-08-02,3357,0.0,0
2024-08-02,5425,0.0,0
2024-08-02,2481,0.0,0
2024-08-02,3675,0.0,0
2024-08-02,8255,-0.0193,1
2024-08-02,8261,0.0,0
2024-08-05,2327,0.0,0
2024-08-05,2492,-0.389,1
2024-08-05,3026,0.0,0
2024-08-05,2472,0.0,0
2024-08-05,3357,0.0,0
2024-08-05,5425,0.0,0
2024-08-05,2481,-0.389,1
2024-08-05,3675,-0.506,6
2024-08-05,8255,-0.4507,2
2024-08-05,8261,0.0,0
2024-08-06,2327,0.0,0
2024-08-06,2492,0.0,0
2024-08-06,3026,0.0,0
2024-08-06,2472,0.0,0
2024-08-06,3357,0.0,0
2024-08-06,5425,0.0,0
2024-08-06,2481,0.0,0
2024-08-06,3675,-0.0225,4
2024-08-06,8255,0.0,0
2024-08-06,8261,0.0,0
2024-08-07,2327,0.0,0
2024-08-07,2492,0.0,0
2024-08-07,3026,-0.1925,4
2024-08-07,2472,0.0,0
2024-08-07,3357,0.0,0
2024-08-07,5425,0.0,0
2024-08-07,2481,0.0,0
2024-08-07,3675,0.0,0
2024-08-07,8255,0.0,0
2024-08-07,8261,0.0,0
2024-08-08,2327,0.0814,8
2024-08-08,2492,0.0,0
2024-08-08,3026,-0.0139,1
2024-08-08,2472,0.0,0
2024-08-08,3357,0.0,0
2024-08-08,5425,0.0,0
2024-08-08,2481,0.0,0
2024-08-08,3675,0.0,0
2024-08-08,8255,-0.0756,2
2024-08-08,8261,0.0,0
2024-08-09,2327,0.1189,4
2024-08-09,2492,-0.0816,3
2024-08-09,3026,0.0,0
2024-08-09,2472,-0.1925,4
2024-08-09,3357,0.0,0
2024-08-09,5425,0.0,0
2024-08-09,2481,0.0,0
2024-08-09,3675,0.0,0
2024-08-09,8255,0.0,0
2024-08-09,8261,0.0,0
2024-08-12,2327,0.0,0
2024-08-12,2492,0.0,0
2024-08-12,3026,0.0,0
2024-08-12,2472,0.0,0
2024-08-12,3357,0.0,0
2024-08-12,5425,0.0,0
2024-08-12,2481,-0.159,4
2024-08-12,3675,0.0,0
2024-08-12,8255,0.0,0
2024-08-12,8261,0.0,0
2024-08-13,2327,0.0,0
2024-08-13,2492,0.0,0
2024-08-13,3026,0.0,0
2024-08-13,2472,0.0,0
2024-08-13,3357,0.0,0
2024-08-13,5425,0.0,0
2024-08-13,2481,0.0,0
2024-08-13,3675,0.0,0
2024-08-13,8255,0.0,0
2024-08-13,8261,0.0,0
2024-08-14,2327,0.0,0
2024-08-14,2492,0.0,0
2024-08-14,3026,0.0,0
2024-08-14,2472,0.0,0
2024-08-14,3357,0.0,0
2024-08-14,5425,0.0,0
2024-08-14,2481,0.0,0
2024-08-14,3675,0.0,0
2024-08-14,8255,0.0,0
2024-08-14,8261,0.0,0
2024-08-15,2327,0.0061,2
2024-08-15,2492,0.0,0
2024-08-15,3026,0.0,0
2024-08-15,2472,0.0,0
2024-08-15,3357,0.0,0
2024-08-15,5425,0.0,0
2024-08-15,2481,0.0,0
2024-08-15,3675,0.0,0
2024-08-15,8255,0.0,0
2024-08-15,8261,0.0,0
2024-08-16,2327,0.0,0
2024-08-16,2492,0.0,0
2024-08-16,3026,0.0,0
2024-08-16,2472,0.0,0
2024-08-16,3357,0.0,0
2024-08-16,5425,0.0,0
2024-08-16,2481,-0.0163,2
2024-08-16,3675,0.0,0
2024-08-16,8255,0.0,0
2024-08-16,8261,0.0,0
2024-08-19,2327,0.0,0
