ticker,method,n,days,direction_accuracy,mae_pp,signal_rate,interval_n50,coverage50,width50_pp,interval_score50,interval_n80,coverage80,width80_pp,interval_score80
2327.TW,frozen_full,45,45,0.6,15.47742172711911,1.0,45,0.5777777777777777,33.083277401081666,42.18368935005393,45,0.8888888888888888,47.951001014470414,49.76906435178451
2327.TW,history_median,45,45,0.37777777777777777,4.8510267179010516,1.0,45,0.5555555555555556,9.78246979007303,15.724018665377871,45,0.8444444444444444,20.581281439882645,21.65229491736761
2327.TW,ridge_full,45,45,0.5333333333333333,5.471769380814152,1.0,45,0.5777777777777777,11.062435686962653,18.4143226774077,45,0.8666666666666667,19.895663623094958,25.741976790057198
2327.TW,ridge_price,45,45,0.5333333333333333,4.917439570281368,1.0,45,0.5333333333333333,10.553197917782125,16.208134586947455,45,0.8444444444444444,18.963997793618766,21.315342742913927
2327.TW,ridge_strategy,45,45,0.5555555555555556,4.9025558537668905,1.0,45,0.5555555555555556,10.515320222376634,16.106563809989687,45,0.8888888888888888,19.145095053644916,21.240838006167934
2327.TW,tree_full,45,45,0.5333333333333333,4.973032419006206,1.0,45,0.6,9.889801662880096,16.0247797910958,45,0.8444444444444444,20.37699664782084,22.420313587520884
2327.TW,yesterday_full,45,45,0.5111111111111111,5.150501810323886,1.0,45,0.6,10.850069782257924,16.991737543026044,45,0.8888888888888888,19.113136008393983,24.23909492838567
2327.TW,zero,45,45,0.022222222222222223,4.808037707684876,0.0,45,0.5555555555555556,9.652765070522115,15.664500006729181,45,0.8444444444444444,20.587912533933554,21.50377612513959
2472.TW,frozen_full,45,45,0.4444444444444444,6.461963320620906,1.0,45,0.4888888888888889,10.90925281134537,19.633887916273743,45,0.7555555555555555,19.414353119894734,26.41679437686968
2472.TW,history_median,45,45,0.4444444444444444,3.5384365865854748,1.0,45,0.6666666666666666,8.588443735743079,11.7626479113644,45,0.9111111111111111,14.917498476349925,16.368924597086153
2472.TW,ridge_full,45,45,0.4666666666666667,3.7075195625433226,1.0,45,0.6888888888888889,10.016710544163987,12.91735503690036,45,0.9111111111111111,16.52474650213039,17.751384613602664
2472.TW,ridge_price,45,45,0.5777777777777777,3.5568833767973236,1.0,45,0.6888888888888889,9.015710139284174,11.903999238158953,45,0.8888888888888888,15.12580149978243,16.7451700144482
2472.TW,ridge_strategy,45,45,0.4888888888888889,3.576863459350055,1.0,45,0.7111111111111111,9.128856783090114,12.075105027778548,45,0.8666666666666667,15.193889196037155,16.931369005946546
2472.TW,tree_full,45,45,0.5333333333333333,3.7697946603851316,1.0,45,0.5777777777777777,9.43373714894265,12.502977669908887,45,0.8666666666666667,14.30158878099914,15.942402786749307
2472.TW,yesterday_full,45,45,0.4888888888888889,3.7931937652902095,1.0,45,0.6888888888888889,9.679825416755978,12.472311758102576,45,0.9333333333333333,16.265318240381763,17.437684501387274
2472.TW,zero,45,45,0.022222222222222223,3.524360520881738,0.0,45,0.6444444444444445,8.606818218538931,11.652704941505277,45,0.9111111111111111,14.825024103170191,16.283069255243316
2481.TW,frozen_full,45,45,0.4888888888888889,12.128967710085337,1.0,45,0.4,14.137867445047343,39.013984176263904,45,0.6444444444444445,27.485000257766583,51.18939777680053
2481.TW,history_median,45,45,0.1111111111111111,4.255385414008956,0.4444444444444444,45,0.5777777777777777,8.474265468522352,13.334774573893068,45,0.9111111111111111,17.237590692083295,18.088245079541895
2481.TW,ridge_full,45,45,0.5111111111111111,4.175752932139675,1.0,45,0.5111111111111111,8.565137878737008,13.153238313794713,45,0.9111111111111111,17.46207823750425,18.37516650734183
2481.TW,ridge_price,45,45,0.5111111111111111,4.184459949418628,1.0,45,0.4888888888888889,8.6024666971169,13.20015542063145,45,0.9111111111111111,17.210220864236682,18.184615901614624
2481.TW,ridge_strategy,45,45,0.5111111111111111,4.175752932139675,1.0,45,0.5111111111111111,8.565137878737008,13.153238313794713,45,0.9111111111111111,17.46207823750425,18.37516650734183
2481.TW,tree_full,45,45,0.6,4.240423644823774,1.0,45,0.5777777777777777,8.477352822606298,13.295251999099767,45,0.8888888888888888,17.285121409339897,18.552966316993356
2481.TW,yesterday_full,45,45,0.4666666666666667,4.211996764999321,1.0,45,0.5111111111111111,8.430871218358384,13.160006260962238,45,0.9111111111111111,17.28839908205141,18.11934040901044
2481.TW,zero,45,45,0.022222222222222223,4.235964772715395,0.0,45,0.5777777777777777,8.485523181874603,13.318227033042119,45,0.9111111111111111,17.165896434180112,18.026935625981906
