ticker,method,coverage_target,n,days,coverage,width,interval_score
2327.TW,empirical_returns_60,0.5,45,45,0.4888888888888889,9.328919984077592,16.277382417557483
2327.TW,empirical_returns_60,0.8,45,45,0.8222222222222222,19.261310587649056,20.946198235712217
2327.TW,ridge_full,0.5,45,45,0.5777777777777777,11.2272642289102,18.582506476492224
2327.TW,ridge_full,0.8,45,45,0.8444444444444444,20.132794988079713,26.41278547796446
2327.TW,ridge_price,0.5,45,45,0.5333333333333333,10.553197917782125,16.208134586947455
2327.TW,ridge_price,0.8,45,45,0.8444444444444444,18.963997793618763,21.315342742913927
2327.TW,verified_original,0.5,2,2,0.5,9.0155,9.80578862478778
2327.TW,verified_original,0.8,2,2,1.0,16.197499999999998,16.197499999999998
2327.TW,zero,0.5,45,45,0.5555555555555556,9.652765070522115,15.664500006729181
2327.TW,zero,0.8,45,45,0.8444444444444444,20.587912533933554,21.5037761251396
2472.TW,empirical_returns_60,0.5,45,45,0.7555555555555555,10.47867461697743,12.97722317122352
2472.TW,empirical_returns_60,0.8,45,45,0.9111111111111111,17.529124094615934,19.056020615979396
2472.TW,ridge_full,0.5,45,45,0.6666666666666666,10.341131213135883,12.736590795095335
2472.TW,ridge_full,0.8,45,45,0.9111111111111111,16.558696364131695,17.949085690928925
2472.TW,ridge_price,0.5,45,45,0.6888888888888889,9.015710139284174,11.903999238158953
2472.TW,ridge_price,0.8,45,45,0.8888888888888888,15.12580149978243,16.745170014448203
2472.TW,verified_original,0.5,2,2,0.5,7.237,12.391035398230091
2472.TW,verified_original,0.8,2,2,1.0,15.083,15.083
2472.TW,zero,0.5,45,45,0.6444444444444445,8.606818218538931,11.652704941505277
2472.TW,zero,0.8,45,45,0.9111111111111111,14.825024103170193,16.283069255243316
2481.TW,empirical_returns_60,0.5,45,45,0.6222222222222222,8.776251959951523,13.687983943093968
2481.TW,empirical_returns_60,0.8,45,45,0.8444444444444444,18.283349088646858,19.520974122668402
2481.TW,ridge_full,0.5,45,45,0.5777777777777777,10.100200784974783,14.013890178342555
2481.TW,ridge_full,0.8,45,45,0.9111111111111111,19.504509187782137,19.99600154268545
2481.TW,ridge_price,0.5,45,45,0.4888888888888889,8.6024666971169,13.20015542063145
2481.TW,ridge_price,0.8,45,45,0.9111111111111111,17.210220864236682,18.184615901614624
2481.TW,verified_original,0.5,2,2,1.0,8.0295,8.0295
2481.TW,verified_original,0.8,2,2,1.0,16.68,16.68
2481.TW,zero,0.5,45,45,0.5777777777777777,8.485523181874603,13.318227033042119
2481.TW,zero,0.8,45,45,0.9111111111111111,17.165896434180112,18.02693562598191
2492.TW,empirical_returns_60,0.5,45,45,0.6,14.70634580078978,18.554458173249454
2492.TW,empirical_returns_60,0.8,45,45,0.8222222222222222,19.624153486782685,21.117637929314753
2492.TW,ridge_full,0.5,45,45,0.6,11.802009686992124,18.128780241977854
2492.TW,ridge_full,0.8,45,45,0.8666666666666667,22.198102714024145,26.31040854343066
2492.TW,ridge_price,0.5,45,45,0.5555555555555556,12.571364472772624,17.49139546836901
2492.TW,ridge_price,0.8,45,45,0.8888888888888888,19.71407382361359,21.82253011987078
