window,target,method,n,days,mae,accuracy
all,close_to_close,analog_8_mean,5860,586,2.439379584512685,0.5109215017064846
all,close_to_close,zero,5860,586,2.4001219871510706,
all,gap,analog_8_mean,5860,586,1.1230803698688063,0.7104095563139932
all,gap,zero,5860,586,1.2877507451296746,
all,intraday,analog_8_mean,5860,586,2.095829491463218,0.48890784982935154
all,intraday,zero,5860,586,2.0021206199602823,
last120,close_to_close,analog_8_mean,1200,120,4.369809438486849,0.5158333333333334
last120,close_to_close,zero,1200,120,4.379602395869297,
last120,gap,analog_8_mean,1200,120,2.1889320176446607,0.6825
last120,gap,zero,1200,120,2.478977857066217,
last120,intraday,analog_8_mean,1200,120,3.5332154665512325,0.4816666666666667
last120,intraday,zero,1200,120,3.385146869642853,
last60,close_to_close,analog_8_mean,600,60,4.352204807894691,0.495
last60,close_to_close,zero,600,60,4.353991617052102,
last60,gap,analog_8_mean,600,60,2.0285826565348786,0.6216666666666667
last60,gap,zero,600,60,2.294759551658603,
last60,intraday,analog_8_mean,600,60,3.566685385367721,0.4633333333333333
last60,intraday,zero,600,60,3.348872507198737,
