date,eligible,saved_at,reason
2026-06-02,False,,missing/ambiguous/not-before-09:00 log
2026-06-05,False,,missing/ambiguous/not-before-09:00 log
2026-06-08,True,"2026-06-08 08:47:02,625",one logged save before 09:00
2026-06-09,False,"2026-06-09 09:13:57,055",missing/ambiguous/not-before-09:00 log
2026-06-10,False,"2026-06-10 10:29:59,564",missing/ambiguous/not-before-09:00 log
2026-06-11,True,"2026-06-11 08:31:37,889",one logged save before 09:00
2026-06-12,False,"2026-06-12 09:23:39,639",missing/ambiguous/not-before-09:00 log
2026-06-15,True,"2026-06-15 08:31:33,138",one logged save before 09:00
2026-06-16,False,,missing/ambiguous/not-before-09:00 log
2026-06-17,False,"2026-06-17 09:31:26,261",missing/ambiguous/not-before-09:00 log
2026-06-18,True,"2026-06-18 08:45:03,893",one logged save before 09:00
2026-06-23,False,,missing/ambiguous/not-before-09:00 log
2026-06-24,False,"2026-06-24 09:16:18,077",missing/ambiguous/not-before-09:00 log
2026-06-25,False,"2026-06-25 09:20:52,158",missing/ambiguous/not-before-09:00 log
2026-06-26,False,"2026-06-26 10:03:15,718",missing/ambiguous/not-before-09:00 log
2026-06-29,False,"2026-06-29 09:06:42,613",missing/ambiguous/not-before-09:00 log
2026-06-30,False,"2026-06-30 09:02:42,358",missing/ambiguous/not-before-09:00 log
2026-07-01,False,"2026-07-01 09:19:07,980",missing/ambiguous/not-before-09:00 log
2026-07-02,False,"2026-07-02 09:09:11,020",missing/ambiguous/not-before-09:00 log
2026-07-03,False,"2026-07-03 09:07:44,920",missing/ambiguous/not-before-09:00 log
2026-07-06,False,"2026-07-06 09:09:53,778",missing/ambiguous/not-before-09:00 log
2026-07-07,False,"2026-07-07 10:13:27,826",missing/ambiguous/not-before-09:00 log
2026-07-08,False,"2026-07-08 09:11:41,153",missing/ambiguous/not-before-09:00 log
2026-07-09,False,"2026-07-09 10:43:49,525",missing/ambiguous/not-before-09:00 log
2026-07-14,False,"2026-07-14 13:03:52,912",missing/ambiguous/not-before-09:00 log
2026-07-15,False,"2026-07-15 10:45:41,738",missing/ambiguous/not-before-09:00 log
2026-07-17,True,"2026-07-17 08:31:53,221",one logged save before 09:00
2026-07-21,True,"2026-07-21 08:31:34,639",one logged save before 09:00
2026-07-23,False,"2026-07-23 17:45:26,134",missing/ambiguous/not-before-09:00 log
2026-07-24,False,"2026-07-24 17:51:24,391",missing/ambiguous/not-before-09:00 log
2026-07-27,False,"2026-07-27 17:39:08,676",missing/ambiguous/not-before-09:00 log
2026-07-28,False,"2026-07-28 17:44:31,773",missing/ambiguous/not-before-09:00 log
2026-07-29,False,"2026-07-29 17:33:59,038",missing/ambiguous/not-before-09:00 log
2026-07-30,False,"2026-07-30 17:34:52,564",missing/ambiguous/not-before-09:00 log
2026-07-31,False,"2026-07-31 17:43:16,482",missing/ambiguous/not-before-09:00 log
2026-08-04,False,"2026-08-04 17:39:48,069",missing/ambiguous/not-before-09:00 log
2026-08-05,False,"2026-08-05 18:15:22,040",missing/ambiguous/not-before-09:00 log
2026-08-06,False,"2026-08-06 17:35:46,056",missing/ambiguous/not-before-09:00 log
2026-08-07,False,"2026-08-07 17:45:02,822",missing/ambiguous/not-before-09:00 log
2026-08-11,False,"2026-08-11 23:36:56,813",missing/ambiguous/not-before-09:00 log
2026-08-12,False,"2026-08-12 17:33:44,523",missing/ambiguous/not-before-09:00 log
2026-08-13,False,"2026-08-13 17:38:17,006",missing/ambiguous/not-before-09:00 log
2026-08-14,False,"2026-08-14 17:35:36,611",missing/ambiguous/not-before-09:00 log
2026-08-17,False,"2026-08-17 17:33:33,862",missing/ambiguous/not-before-09:00 log
2026-08-18,False,"2026-08-18 18:17:09,913",missing/ambiguous/not-before-09:00 log
2026-08-19,False,"2026-08-19 17:43:27,423",missing/ambiguous/not-before-09:00 log
2026-08-20,False,"2026-08-20 17:45:08,349",missing/ambiguous/not-before-09:00 log
2026-08-21,False,"2026-08-21 17:41:37,893",missing/ambiguous/not-before-09:00 log
2026-08-24,False,"2026-08-24 17:33:36,446",missing/ambiguous/not-before-09:00 log
2026-08-25,True,"2026-08-25 08:31:40,755",one logged save before 09:00
2026-08-26,False,"2026-08-26 17:32:43,670",missing/ambiguous/not-before-09:00 log
2026-08-27,False,"2026-08-27 17:33:20,310",missing/ambiguous/not-before-09:00 log
2026-08-28,False,"2026-08-28 17:33:57,018",missing/ambiguous/not-before-09:00 log
2026-08-31,True,"2026-08-31 08:31:38,224",one logged save before 09:00
2026-09-01,False,"2026-09-01 17:43:57,086",missing/ambiguous/not-before-09:00 log
2026-09-02,False,"2026-09-02 17:35:28,924",missing/ambiguous/not-before-09:00 log
2026-09-03,False,"2026-09-03 17:44:31,594",missing/ambiguous/not-before-09:00 log
2026-09-04,False,"2026-09-04 17:45:02,737",missing/ambiguous/not-before-09:00 log
2026-09-08,True,"2026-09-08 08:31:39,555",one logged save before 09:00
2026-09-09,True,"2026-09-09 08:31:38,116",one logged save before 09:00
2026-09-16,True,"2026-09-16 08:31:54,822",one logged save before 09:00
