ticker,target,method,n,days,accuracy,mae
2327.TW,close_to_close,price,60,60,0.48333333333333334,4.970497220983516
2327.TW,close_to_close,price_us,60,60,0.6833333333333333,4.483383275986304
2327.TW,close_to_close,price_us_peers,60,60,0.6833333333333333,4.483383275986304
2327.TW,close_to_close,sox_copy,60,60,0.65,4.379126496082766
2327.TW,close_to_close,us_only,60,60,0.6166666666666667,4.581222287616094
2327.TW,close_to_close,zero,60,60,0.05,4.7838535509327516
2327.TW,gap,price,60,60,0.5166666666666667,2.9235175153485575
2327.TW,gap,price_us,60,60,0.7166666666666667,2.103133422632939
2327.TW,gap,price_us_peers,60,60,0.7166666666666667,2.103133422632939
2327.TW,gap,sox_copy,60,60,0.7166666666666667,2.125571731149338
2327.TW,gap,us_only,60,60,0.7166666666666667,2.081468753694655
2327.TW,gap,zero,60,60,0.03333333333333333,2.8300240622324284
2327.TW,intraday,price,60,60,0.55,3.569458410290863
2327.TW,intraday,price_us,60,60,0.5166666666666667,3.6208385196271515
2327.TW,intraday,price_us_peers,60,60,0.5166666666666667,3.6208385196271515
2327.TW,intraday,sox_copy,60,60,0.5166666666666667,4.231657483323273
2327.TW,intraday,us_only,60,60,0.4166666666666667,3.656956403980977
2327.TW,intraday,zero,60,60,0.03333333333333333,3.5993586061984315
2472.TW,close_to_close,price,60,60,0.5166666666666667,4.250268697067688
2472.TW,close_to_close,price_us,60,60,0.6,3.9248964800732353
2472.TW,close_to_close,price_us_peers,60,60,0.6,3.9248964800732353
2472.TW,close_to_close,sox_copy,60,60,0.6166666666666667,4.072343666786695
2472.TW,close_to_close,us_only,60,60,0.5666666666666667,3.9192067662741175
2472.TW,close_to_close,zero,60,60,0.03333333333333333,4.042220027204652
2472.TW,gap,price,60,60,0.5,1.9262793195269972
2472.TW,gap,price_us,60,60,0.6666666666666666,1.7235153379738046
2472.TW,gap,price_us_peers,60,60,0.6666666666666666,1.7235153379738046
2472.TW,gap,sox_copy,60,60,0.6333333333333333,2.176182828899543
2472.TW,gap,us_only,60,60,0.6666666666666666,1.7571496350965934
2472.TW,gap,zero,60,60,0.05,1.8715688521442102
2472.TW,intraday,price,60,60,0.4,3.1513519719989405
2472.TW,intraday,price_us,60,60,0.45,3.274609405628285
2472.TW,intraday,price_us_peers,60,60,0.45,3.274609405628285
2472.TW,intraday,sox_copy,60,60,0.5,3.9450402330971164
2472.TW,intraday,us_only,60,60,0.4,3.184472543394386
2472.TW,intraday,zero,60,60,0.016666666666666666,3.101000005519338
2481.TW,close_to_close,price,60,60,0.5166666666666667,4.454643046203454
2481.TW,close_to_close,price_us,60,60,0.6166666666666667,4.184558481378273
2481.TW,close_to_close,price_us_peers,60,60,0.6,4.192269883374676
2481.TW,close_to_close,sox_copy,60,60,0.6,4.097597580416574
2481.TW,close_to_close,us_only,60,60,0.6166666666666667,4.214104440174354
2481.TW,close_to_close,zero,60,60,0.03333333333333333,4.536678293193935
2481.TW,gap,price,60,60,0.4666666666666667,2.667689583357067
