window,ticker,index,bucket,target,n,days,follow,mean_tw,correlation
all,ALL,sox,up,close_to_close,3610,361,0.5379501385041551,0.6603328647451465,0.20533251458184856
all,ALL,sox,up,gap,3610,361,0.7952908587257618,1.015030253900573,0.3872856903800261
all,ALL,sox,up,intraday,3610,361,0.3922437673130194,-0.3504073366365659,-0.01650290947010279
all,ALL,sox,down,close_to_close,2640,264,0.5356060606060606,-0.47567115560950674,0.25351028628252736
all,ALL,sox,down,gap,2640,264,0.5136363636363637,-0.4304798859707071,0.5245736699080364
all,ALL,sox,down,intraday,2640,264,0.509090909090909,-0.04227262357766929,-0.06554231843961257
all,ALL,sox,big_up,close_to_close,1260,126,0.5857142857142857,0.9489277400532296,0.3175582677115393
all,ALL,sox,big_up,gap,1260,126,0.873015873015873,1.5060212109991389,0.48161795604245783
all,ALL,sox,big_up,intraday,1260,126,0.3619047619047619,-0.5501744032499877,0.017159894980477892
all,ALL,sox,big_down,close_to_close,970,97,0.6494845360824743,-1.3856980432874189,0.15726449830656475
all,ALL,sox,big_down,gap,970,97,0.7402061855670103,-1.3876254455200687,0.46356118226556037
all,ALL,sox,big_down,intraday,970,97,0.51340206185567,0.01020183092933655,-0.1567548821581933
all,ALL,nasdaq,up,close_to_close,3590,359,0.5506963788300836,0.6982814924667017,0.2078009878393162
all,ALL,nasdaq,up,gap,3590,359,0.796100278551532,0.9704387340235685,0.37312754995501746
all,ALL,nasdaq,up,intraday,3590,359,0.40501392757660165,-0.26861218695615724,-0.0026400342817587364
all,ALL,nasdaq,down,close_to_close,2660,266,0.5526315789473685,-0.5183461530205178,0.2313376837297345
all,ALL,nasdaq,down,gap,2660,266,0.5097744360902255,-0.35942960057376255,0.4445123815444434
all,ALL,nasdaq,down,intraday,2660,266,0.5266917293233083,-0.15498212794377647,-0.04460423687007535
all,ALL,nasdaq,big_up,close_to_close,320,32,0.74375,2.2913498233352456,0.3279811726581809
all,ALL,nasdaq,big_up,gap,320,32,0.94375,2.415436624850533,0.5062761145560656
all,ALL,nasdaq,big_up,intraday,320,32,0.40625,-0.11313208808645973,-0.04779501516941907
all,ALL,nasdaq,big_down,close_to_close,340,34,0.7647058823529411,-2.432667686894441,0.1951598372876932
all,ALL,nasdaq,big_down,gap,340,34,0.8529411764705882,-2.304247897820866,0.5401426312749419
all,ALL,nasdaq,big_down,intraday,340,34,0.5088235294117647,-0.10809912338140458,-0.2782029905280751
all,ALL,sp500,up,close_to_close,3520,352,0.5585227272727272,0.7104874051439883,0.2021462699245451
all,ALL,sp500,up,gap,3520,352,0.7940340909090909,0.9553678779422503,0.36324109801966237
all,ALL,sp500,up,intraday,3520,352,0.4107954545454545,-0.24051260020617254,-0.003671875000879834
all,ALL,sp500,down,close_to_close,2730,273,0.554945054945055,-0.5028885989692152,0.2201383520189593
all,ALL,sp500,down,gap,2730,273,0.5007326007326007,-0.30589839294443916,0.4396148908705116
all,ALL,sp500,down,intraday,2730,273,0.5377289377289377,-0.19412668819682138,-0.05750718330003892
all,ALL,sp500,big_up,close_to_close,110,11,0.7363636363636363,2.233701726175569,0.7542223567644675
all,ALL,sp500,big_up,gap,110,11,0.9545454545454546,2.4635429242199054,0.8597761797099941
all,ALL,sp500,big_up,intraday,110,11,0.35454545454545455,-0.22113082580744184,0.07264876421105598
all,ALL,sp500,big_down,close_to_close,110,11,0.7909090909090909,-2.6166163662440867,0.49986785963399394
all,ALL,sp500,big_down,gap,110,11,0.8545454545454545,-3.39388428618159,0.5387773582904531
all,ALL,sp500,big_down,intraday,110,11,0.39090909090909093,0.8601989401276224,-0.08999180076518394
all,2327.TW,sox,up,close_to_close,361,361,0.592797783933518,1.0053867652250157,0.1803396662295564
all,2327.TW,sox,up,gap,361,361,0.8199445983379502,1.1820586290980266,0.3793448176573268
all,2327.TW,sox,up,intraday,361,361,0.407202216066482,-0.17687745162270738,-0.05816025764791388
all,2327.TW,sox,down,close_to_close,264,264,0.5378787878787878,-0.569782761013828,0.26666655849234383
all,2327.TW,sox,down,gap,264,264,0.5303030303030303,-0.555600109504764,0.5294775508601789
all,2327.TW,sox,down,intraday,264,264,0.5151515151515151,-0.010952525128703523,-0.1137742113040659
all,2327.TW,sox,big_up,close_to_close,126,126,0.6349206349206349,1.2681553930833003,0.2572582993756541
all,2327.TW,sox,big_up,gap,126,126,0.9047619047619048,1.7518892199786325,0.47103333860182356
all,2327.TW,sox,big_up,intraday,126,126,0.373015873015873,-0.47890397020021513,-0.053344058744765416
all,2327.TW,sox,big_down,close_to_close,97,97,0.6701030927835051,-1.5723154396294168,0.1505894147092723
all,2327.TW,sox,big_down,gap,97,97,0.7731958762886598,-1.7013727629078306,0.4247576840521709
all,2327.TW,sox,big_down,intraday,97,97,0.5154639175257731,0.13712388565945338,-0.16874741943377208
all,2327.TW,nasdaq,up,close_to_close,359,359,0.6016713091922006,1.0182847575866072,0.19477398050531552
all,2327.TW,nasdaq,up,gap,359,359,0.8217270194986073,1.1841238560858875,0.3721635995161694
all,2327.TW,nasdaq,up,intraday,359,359,0.415041782729805,-0.16459017910964957,-0.04178885688936134
all,2327.TW,nasdaq,down,close_to_close,266,266,0.5488721804511278,-0.575346821936135,0.22376977346921412
all,2327.TW,nasdaq,down,gap,266,266,0.5300751879699248,-0.5453222862394874,0.4412022273242665
all,2327.TW,nasdaq,down,intraday,266,266,0.518796992481203,-0.02878327958425153,-0.08021718301277543
all,2327.TW,nasdaq,big_up,close_to_close,32,32,0.75,2.268930331062376,0.33515627387282215
all,2327.TW,nasdaq,big_up,gap,32,32,0.96875,2.901917428897878,0.45194187210342845
all,2327.TW,nasdaq,big_up,intraday,32,32,0.28125,-0.5946206941597126,-0.031572535899141156
all,2327.TW,nasdaq,big_down,close_to_close,34,34,0.7647058823529411,-2.227638736956869,0.10096367836661732
all,2327.TW,nasdaq,big_down,gap,34,34,0.8529411764705882,-2.5174220936575202,0.4662346673111889
all,2327.TW,nasdaq,big_down,intraday,34,34,0.4411764705882353,0.31886630756574935,-0.3356967906631032
all,2327.TW,sp500,up,close_to_close,352,352,0.6107954545454546,1.0534584811479375,0.18114635710752527
all,2327.TW,sp500,up,gap,352,352,0.8295454545454546,1.1663023365636795,0.34936815275247335
all,2327.TW,sp500,up,intraday,352,352,0.42329545454545453,-0.1107511268561768,-0.04345982316440238
all,2327.TW,sp500,down,close_to_close,273,273,0.5567765567765568,-0.5798366740860579,0.21176156622620715
all,2327.TW,sp500,down,gap,273,273,0.5274725274725275,-0.4779988508252207,0.43171386548445895
all,2327.TW,sp500,down,intraday,273,273,0.5274725274725275,-0.10168435903443541,-0.09210479240798611
all,2327.TW,sp500,big_up,close_to_close,11,11,0.8181818181818182,2.666183287403785,0.758680364315947
all,2327.TW,sp500,big_up,gap,11,11,1.0,2.8188505505476162,0.8758321449310339
all,2327.TW,sp500,big_up,intraday,11,11,0.36363636363636365,-0.14655850721306313,0.003657950531918295
all,2327.TW,sp500,big_down,close_to_close,11,11,0.7272727272727273,-2.0475096613944603,0.4950724850763294
all,2327.TW,sp500,big_down,gap,11,11,0.9090909090909091,-3.4696016239678062,0.4739637955452057
all,2327.TW,sp500,big_down,intraday,11,11,0.36363636363636365,1.5349610390887072,-0.019544030578769023
all,2472.TW,sox,up,close_to_close,361,361,0.5318559556786704,0.6452059597312533,0.17126507516342918
all,2472.TW,sox,up,gap,361,361,0.814404432132964,0.9659986640859438,0.3713638170588586
all,2472.TW,sox,up,intraday,361,361,0.4099722991689751,-0.3181919865387865,-0.039619655473320886
all,2472.TW,sox,down,close_to_close,264,264,0.4962121212121212,-0.32196324337512783,0.2520285925076533
all,2472.TW,sox,down,gap,264,264,0.5303030303030303,-0.47599481984156483,0.4971910839436168
all,2472.TW,sox,down,intraday,264,264,0.4734848484848485,0.15481036270980683,-0.03369249675737048
all,2472.TW,sox,big_up,close_to_close,126,126,0.5714285714285714,0.8381726960501071,0.2726609844554358
