window,target,method,n,days,accuracy,mae
all,close_to_close,price,5870,587,0.48415672913117547,2.465082590592868
all,close_to_close,price_us,5870,587,0.558603066439523,2.3709031775724645
all,close_to_close,price_us_peers,5870,587,0.5577512776831346,2.3768322291547475
all,close_to_close,sox_copy,5870,587,0.5339011925042589,2.7231114203301057
all,close_to_close,us_only,5870,587,0.5543441226575809,2.336489855235891
all,close_to_close,zero,5870,587,0.05264054514480409,2.4067530270370967
all,gap,price,5870,587,0.6386712095400341,1.2781763452312322
all,gap,price_us,5870,587,0.7332197614991482,1.0636274476194971
all,gap,price_us_peers,5870,587,0.7347529812606474,1.0651022450438365
all,gap,sox_copy,5870,587,0.6621805792163543,1.6633981815590824
all,gap,us_only,5870,587,0.7402044293015332,1.0395061542207382
all,gap,zero,5870,587,0.020272572402044293,1.2914538172462142
all,intraday,price,5870,587,0.5183986371379897,2.016672236647218
all,intraday,price_us,5870,587,0.5165247018739353,2.0276793738426755
all,intraday,price_us_peers,5870,587,0.5168654173764906,2.0322429934053594
all,intraday,sox_copy,5870,587,0.4373083475298126,2.9033088210701146
all,intraday,us_only,5870,587,0.5170357751277683,2.0090891432411917
all,intraday,zero,5870,587,0.06286201022146508,2.0033962594852595
after_validation,close_to_close,price,4870,487,0.47782340862423,2.6229109522289074
after_validation,close_to_close,price_us,4870,487,0.5628336755646818,2.516724362020137
after_validation,close_to_close,price_us_peers,4870,487,0.5618069815195071,2.5241740496306435
after_validation,close_to_close,sox_copy,4870,487,0.5449691991786447,2.829223681270253
after_validation,close_to_close,us_only,4870,487,0.5611909650924025,2.480575559507373
after_validation,close_to_close,zero,4870,487,0.052361396303901436,2.5650064209713173
after_validation,gap,price,4870,487,0.6316221765913758,1.371289374793855
after_validation,gap,price_us,4870,487,0.7279260780287474,1.1391659365094986
after_validation,gap,price_us_peers,4870,487,0.7297741273100616,1.140344877656702
after_validation,gap,sox_copy,4870,487,0.6650924024640658,1.6759422579613497
after_validation,gap,us_only,4870,487,0.7347022587268994,1.109229150928615
after_validation,gap,zero,4870,487,0.022587268993839837,1.3768448596589347
after_validation,intraday,price,4870,487,0.5117043121149897,2.1259501057674903
after_validation,intraday,price_us,4870,487,0.5123203285420944,2.1327353071596447
after_validation,intraday,price_us_peers,4870,487,0.5106776180698152,2.137311803590876
after_validation,intraday,sox_copy,4870,487,0.44496919917864475,2.9845320893079275
after_validation,intraday,us_only,4870,487,0.519917864476386,2.109866123665148
after_validation,intraday,zero,4870,487,0.06406570841889117,2.106088472094258
last120,close_to_close,price,1200,120,0.48583333333333334,4.42984076922124
last120,close_to_close,price_us,1200,120,0.5741666666666667,4.250286779379465
last120,close_to_close,price_us_peers,1200,120,0.5758333333333333,4.265757513126297
last120,close_to_close,sox_copy,1200,120,0.5733333333333334,4.520330966302001
last120,close_to_close,us_only,1200,120,0.5766666666666667,4.222794677200872
last120,close_to_close,zero,1200,120,0.04,4.379602395869297
last120,gap,price,1200,120,0.5766666666666667,2.5047944975564898
last120,gap,price_us,1200,120,0.7158333333333333,2.0854483046518246
last120,gap,price_us_peers,1200,120,0.7191666666666666,2.095070039694022
last120,gap,sox_copy,1200,120,0.7091666666666666,2.4691355851900143
last120,gap,us_only,1200,120,0.72,2.0160039996971335
last120,gap,zero,1200,120,0.0475,2.478977857066217
last120,intraday,price,1200,120,0.48833333333333334,3.4316816516229802
last120,intraday,price_us,1200,120,0.49166666666666664,3.450075682515068
last120,intraday,price_us_peers,1200,120,0.4891666666666667,3.456103165120531
last120,intraday,sox_copy,1200,120,0.4558333333333333,4.617008805872519
last120,intraday,us_only,1200,120,0.4841666666666667,3.413446900696528
last120,intraday,zero,1200,120,0.06416666666666666,3.385146869642853
last60,close_to_close,price,600,60,0.4583333333333333,4.476105691490522
last60,close_to_close,price_us,600,60,0.5866666666666667,4.165447010489833
last60,close_to_close,price_us_peers,600,60,0.5833333333333334,4.1677275127340465
last60,close_to_close,sox_copy,600,60,0.585,4.281585704249461
last60,close_to_close,us_only,600,60,0.59,4.156950769683239
last60,close_to_close,zero,600,60,0.058333333333333334,4.353991617052101
last60,gap,price,600,60,0.5,2.4668255683199423
last60,gap,price_us,600,60,0.66,1.9870446942402948
last60,gap,price_us_peers,600,60,0.665,2.010048088173856
last60,gap,sox_copy,600,60,0.6566666666666666,2.329975765007682
last60,gap,us_only,600,60,0.67,1.893475352888867
last60,gap,zero,600,60,0.085,2.294759551658603
last60,intraday,price,600,60,0.49666666666666665,3.363092302619138
last60,intraday,price_us,600,60,0.47833333333333333,3.399038733894743
last60,intraday,price_us_peers,600,60,0.47833333333333333,3.395958475926055
last60,intraday,sox_copy,600,60,0.5033333333333333,4.274520994524533
last60,intraday,us_only,600,60,0.45666666666666667,3.4092527669894994
last60,intraday,zero,600,60,0.075,3.3488725071987373
last20,close_to_close,price,200,20,0.415,2.9609388210184076
last20,close_to_close,price_us,200,20,0.58,2.764030926076464
last20,close_to_close,price_us_peers,200,20,0.585,2.7417306088690108
last20,close_to_close,sox_copy,200,20,0.57,2.959326754434558
last20,close_to_close,us_only,200,20,0.62,2.684643201529431
last20,close_to_close,zero,200,20,0.07,2.795688656303597
last20,gap,price,200,20,0.475,1.5923507438916806
last20,gap,price_us,200,20,0.67,1.276482304463058
last20,gap,price_us_peers,200,20,0.66,1.2885635901291699
last20,gap,sox_copy,200,20,0.6,1.8525592514060123
last20,gap,us_only,200,20,0.7,1.2904130830147744
last20,gap,zero,200,20,0.1,1.4916301391005355
last20,intraday,price,200,20,0.53,2.4282280404542447
last20,intraday,price_us,200,20,0.465,2.4637179972218477
last20,intraday,price_us_peers,200,20,0.48,2.459723579395135
last20,intraday,sox_copy,200,20,0.55,2.9088587222388638
last20,intraday,us_only,200,20,0.445,2.4355820538467734
last20,intraday,zero,200,20,0.045,2.409987772378712
