ticker,name,features,train_end,validation_start,validation_end,test_start,test_end,test_n,selected_on_validation,scale,validation_direction_accuracy,validation_mae_pp,test_direction_accuracy,test_mae_pp,test_zero_baseline_mae_pp,shadow_eligible
2327.TW,國巨,"['pct_change', 'RSI', 'MACD_hist', 'Volume_ratio', 'ATR', 'twii_pct', 'usdtwd_pct', 'murata_pct', 'tdk_pct']",2026-01-13,2026-01-14,2026-06-17,2026-06-18,2026-09-10,60,logistic_c1,1.0,0.6,3.74289092552168,0.36666666666666664,5.176674277092167,4.930912221428869,False
2492.TW,華新科,"['pct_change', 'RSI', 'MACD_hist', 'Volume_ratio', 'ATR', 'twii_pct', 'usdtwd_pct', 'murata_pct', 'tdk_pct']",2026-01-13,2026-01-14,2026-06-17,2026-06-18,2026-09-10,60,extra_trees,0.1,0.51,4.672920931434206,0.4,5.566181274031952,5.56017164843985,False
3026.TW,禾伸堂,"['pct_change', 'RSI', 'MACD_hist', 'Volume_ratio', 'ATR', 'twii_pct', 'usdtwd_pct', 'murata_pct', 'tdk_pct']",2026-01-13,2026-01-14,2026-06-17,2026-06-18,2026-09-10,60,logistic_c1,1.0,0.57,4.421764402077944,0.5,6.152383132981082,6.14081057150272,False
2472.TW,立隆電,"['pct_change', 'RSI', 'MACD_hist', 'Volume_ratio', 'ATR', 'twii_pct', 'usdtwd_pct', 'murata_pct', 'tdk_pct']",2026-01-13,2026-01-14,2026-06-17,2026-06-18,2026-09-10,60,logistic_c1,1.0,0.54,3.826972886735783,0.43333333333333335,4.468936302900726,4.302986655419156,False
3357.TWO,臺慶科,"['pct_change', 'RSI', 'MACD_hist', 'Volume_ratio', 'ATR', 'twii_pct', 'usdtwd_pct', 'murata_pct', 'tdk_pct']",2026-01-13,2026-01-14,2026-06-17,2026-06-18,2026-09-10,60,historical_majority,1.0,0.52,3.6795232899494947,0.35,3.5695129318840912,3.5642282068685818,False
5425.TWO,台半,"['pct_change', 'RSI', 'MACD_hist', 'Volume_ratio', 'ATR', 'twii_pct', 'usdtwd_pct', 'onsemi_pct', 'vishay_pct']",2026-01-13,2026-01-14,2026-06-17,2026-06-18,2026-09-10,60,hist_gradient,1.0,0.56,3.6030894758690413,0.5333333333333333,4.0528673140785525,4.121242398250003,False
2481.TW,強茂,"['pct_change', 'RSI', 'MACD_hist', 'Volume_ratio', 'ATR', 'twii_pct', 'usdtwd_pct', 'onsemi_pct', 'vishay_pct']",2026-01-13,2026-01-14,2026-06-17,2026-06-18,2026-09-10,60,logistic_c1,1.0,0.59,3.7206305383963882,0.6333333333333333,4.718158762783716,4.828962904876181,True
3675.TWO,德微,"['pct_change', 'RSI', 'MACD_hist', 'Volume_ratio', 'ATR', 'twii_pct', 'usdtwd_pct', 'onsemi_pct', 'vishay_pct']",2026-01-13,2026-01-14,2026-06-17,2026-06-18,2026-09-10,60,logistic_c01,1.0,0.56,3.709812565076194,0.5833333333333334,4.533068539638791,4.64946761676949,True
8255.TWO,朋程,"['pct_change', 'RSI', 'MACD_hist', 'Volume_ratio', 'ATR', 'twii_pct', 'usdtwd_pct', 'onsemi_pct', 'vishay_pct']",2026-01-13,2026-01-14,2026-06-17,2026-06-18,2026-09-10,60,historical_majority,1.0,0.52,2.467432680799098,0.6166666666666667,2.927548909073634,2.9294670993293996,False
8261.TW,富鼎,"['pct_change', 'RSI', 'MACD_hist', 'Volume_ratio', 'ATR', 'twii_pct', 'usdtwd_pct', 'onsemi_pct', 'vishay_pct']",2026-01-13,2026-01-14,2026-06-17,2026-06-18,2026-09-10,60,extra_trees,1.0,0.56,2.956530768494024,0.6166666666666667,4.820844639505876,4.844107296969876,False
